Channel,Theta,Alpha,Lowbeta,Highbeta,Gamma
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
AF3,621.4072977,794.9707577,167.8989619,431.5566596,462.8267375
T7,588.8385383,1002.008753,143.9251969,503.5703621,611.7680412
Pz,266.8495861,341.7335713,204.4866161,265.411937,282.2620513
T8,1367.325375,375.3020305,563.6490948,988.2082651,728.0770983
AF4,450.9712929,439.8398704,1318.147919,332.8569382,429.0791025
