Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF3,507.2715497303895,596.911040014254,594.7373306117787,241.4144501723524,420.86899817785735,
T7,482.624613007704,701.3055878189266,1037.544358928465,385.6498293784168,509.0469293075226,
Pz,120.49422572082739,166.22700574746455,445.6363548635538,371.3375284470196,213.75274953962136,
T8,521.7188405203221,392.3942660630447,831.2618781559439,472.88683806654336,577.4774783518986,
AF4,294.7295712744814,650.8647057378455,195.12838483562916,469.5509760263113,356.5295355431754,
AF3,507.2715497303895,596.911040014254,594.7373306117787,241.4144501723524,420.86899817785735,
T7,482.624613007704,701.3055878189266,1037.544358928465,385.6498293784168,509.0469293075226,
Pz,120.49422572082739,166.22700574746455,445.6363548635538,371.3375284470196,213.75274953962136,
T8,521.7188405203221,392.3942660630447,831.2618781559439,472.88683806654336,577.4774783518986,
AF4,294.7295712744814,650.8647057378455,195.12838483562916,469.5509760263113,356.5295355431754,
AF3,507.2715497303895,596.911040014254,594.7373306117787,241.4144501723524,420.86899817785735,
T7,482.624613007704,701.3055878189266,1037.544358928465,385.6498293784168,509.0469293075226,
Pz,120.49422572082739,166.22700574746455,445.6363548635538,371.3375284470196,213.75274953962136,
T8,521.7188405203221,392.3942660630447,831.2618781559439,472.88683806654336,577.4774783518986,
AF4,294.7295712744814,650.8647057378455,195.12838483562916,469.5509760263113,356.5295355431754,
AF3,507.2715497303895,596.911040014254,594.7373306117787,241.4144501723524,420.86899817785735,
T7,482.624613007704,701.3055878189266,1037.544358928465,385.6498293784168,509.0469293075226,
Pz,120.49422572082739,166.22700574746455,445.6363548635538,371.3375284470196,213.75274953962136,
T8,521.7188405203221,392.3942660630447,831.2618781559439,472.88683806654336,577.4774783518986,
AF4,294.7295712744814,650.8647057378455,195.12838483562916,469.5509760263113,356.5295355431754,
AF3,507.2715497303895,596.911040014254,594.7373306117787,241.4144501723524,420.86899817785735,
T7,482.624613007704,701.3055878189266,1037.544358928465,385.6498293784168,509.0469293075226,
Pz,120.49422572082739,166.22700574746455,445.6363548635538,371.3375284470196,213.75274953962136,
T8,521.7188405203221,392.3942660630447,831.2618781559439,472.88683806654336,577.4774783518986,
AF4,294.7295712744814,650.8647057378455,195.12838483562916,469.5509760263113,356.5295355431754,
AF3,507.2715497303895,596.911040014254,594.7373306117787,241.4144501723524,420.86899817785735,
