Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,4457.553811114791,1982.1933875619122,582.790156093694,142.79664643717274,90.83742672651927,
T7,4627.321949097317,2123.7314101131146,832.7935391310766,86.86873319759374,84.9169285078832,
Pz,109.31903646919592,94.97583914664682,47.84222388445737,16.08419336250884,19.706375758394394,
T8,3763.3121380439675,1842.603649224774,831.3088820442189,147.88282077909648,76.84790061735225,
AF4,4163.4019926928995,1263.8909313611457,453.1662500449938,227.73743782893192,94.12651228283906,
AF3,164.61013972903896,49.508500983242755,79.1368430356016,62.79501495878204,89.26705314125266,
T7,194.01354075117214,114.72260810080454,51.84250287738237,56.2750122155757,93.09891318789914,
Pz,13.510089372672708,13.11127205707217,3.325817417671202,5.0222604381776845,10.695494152580704,
T8,412.62604263102594,156.05152657982174,67.79049556130872,55.56768306499374,128.02525745998452,
AF4,190.9067041430622,52.771628538692475,61.385435472652915,123.17806503079072,145.79827379900493,
AF3,164.61013972903896,49.508500983242755,79.1368430356016,62.79501495878204,89.26705314125266,
T7,194.01354075117214,114.72260810080454,51.84250287738237,56.2750122155757,93.09891318789914,
Pz,13.510089372672708,13.11127205707217,3.325817417671202,5.0222604381776845,10.695494152580704,
T8,412.62604263102594,156.05152657982174,67.79049556130872,55.56768306499374,128.02525745998452,
AF4,190.9067041430622,52.771628538692475,61.385435472652915,123.17806503079072,145.79827379900493,
AF3,164.61013972903896,49.508500983242755,79.1368430356016,62.79501495878204,89.26705314125266,
T7,194.01354075117214,114.72260810080454,51.84250287738237,56.2750122155757,93.09891318789914,
Pz,13.510089372672708,13.11127205707217,3.325817417671202,5.0222604381776845,10.695494152580704,
T8,412.62604263102594,156.05152657982174,67.79049556130872,55.56768306499374,128.02525745998452,
AF4,190.9067041430622,52.771628538692475,61.385435472652915,123.17806503079072,145.79827379900493,
