Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF3,273.2864059743414,57.95644863897652,11.85310500658175,32.56869626044197,33.93580191565435,
T7,91.4206746764113,239.81090440461242,63.16655418436839,113.26587650021338,79.0203140636105,
Pz,126.30649376503155,222.55881918941486,109.02340047637088,175.78384469413535,282.20238770666447,
T8,154.60004294541082,288.80519119429044,125.97946628364015,150.67314783123354,184.1561553641592,
AF4,296.10384606236244,56.49309683809433,18.911838227786777,18.62156876668235,13.659643728792,
AF3,273.2864059743414,57.95644863897652,11.85310500658175,32.56869626044197,33.93580191565435,
T7,91.4206746764113,239.81090440461242,63.16655418436839,113.26587650021338,79.0203140636105,
Pz,126.30649376503155,222.55881918941486,109.02340047637088,175.78384469413535,282.20238770666447,
T8,154.60004294541082,288.80519119429044,125.97946628364015,150.67314783123354,184.1561553641592,
AF4,296.10384606236244,56.49309683809433,18.911838227786777,18.62156876668235,13.659643728792,
AF3,273.2864059743414,57.95644863897652,11.85310500658175,32.56869626044197,33.93580191565435,
T7,91.4206746764113,239.81090440461242,63.16655418436839,113.26587650021338,79.0203140636105,
Pz,126.30649376503155,222.55881918941486,109.02340047637088,175.78384469413535,282.20238770666447,
T8,154.60004294541082,288.80519119429044,125.97946628364015,150.67314783123354,184.1561553641592,
AF4,296.10384606236244,56.49309683809433,18.911838227786777,18.62156876668235,13.659643728792,
AF3,273.2864059743414,57.95644863897652,11.85310500658175,32.56869626044197,33.93580191565435,
T7,91.4206746764113,239.81090440461242,63.16655418436839,113.26587650021338,79.0203140636105,
Pz,126.30649376503155,222.55881918941486,109.02340047637088,175.78384469413535,282.20238770666447,
T8,154.60004294541082,288.80519119429044,125.97946628364015,150.67314783123354,184.1561553641592,
AF4,296.10384606236244,56.49309683809433,18.911838227786777,18.62156876668235,13.659643728792,
AF3,273.2864059743414,57.95644863897652,11.85310500658175,32.56869626044197,33.93580191565435,
T7,91.4206746764113,239.81090440461242,63.16655418436839,113.26587650021338,79.0203140636105,
Pz,126.30649376503155,222.55881918941486,109.02340047637088,175.78384469413535,282.20238770666447,
T8,154.60004294541082,288.80519119429044,125.97946628364015,150.67314783123354,184.1561553641592,
AF4,296.10384606236244,56.49309683809433,18.911838227786777,18.62156876668235,13.659643728792,
AF3,273.2864059743414,57.95644863897652,11.85310500658175,32.56869626044197,33.93580191565435,
T7,91.4206746764113,239.81090440461242,63.16655418436839,113.26587650021338,79.0203140636105,
Pz,126.30649376503155,222.55881918941486,109.02340047637088,175.78384469413535,282.20238770666447,
T8,154.60004294541082,288.80519119429044,125.97946628364015,150.67314783123354,184.1561553641592,
AF4,296.10384606236244,56.49309683809433,18.911838227786777,18.62156876668235,13.659643728792,
AF3,273.2864059743414,57.95644863897652,11.85310500658175,32.56869626044197,33.93580191565435,
T7,91.4206746764113,239.81090440461242,63.16655418436839,113.26587650021338,79.0203140636105,
Pz,126.30649376503155,222.55881918941486,109.02340047637088,175.78384469413535,282.20238770666447,
T8,154.60004294541082,288.80519119429044,125.97946628364015,150.67314783123354,184.1561553641592,
AF4,296.10384606236244,56.49309683809433,18.911838227786777,18.62156876668235,13.659643728792,
