Channel , Theta ,Alpha ,Low beta ,High beta , Gamma 
AF3,35.37332962650511,85.69550744704719,64.06507420691226,75.82485051696224,83.62831781586121,
T7,41.657395950944306,97.03565536095691,154.1928431634478,77.37245942026901,82.50236452820648,
Pz,3.9310621300784536,8.314970481108768,5.776397801851863,3.859648398410017,10.74517086345485,
T8,58.90124985936385,167.62467217925598,69.49083544912448,110.90559548052045,66.02482315987257,
AF4,68.4978947121061,190.10277945214713,50.834893927285854,64.82220589346697,71.22761839168756,
AF3,35.37332962650511,85.69550744704719,64.06507420691226,75.82485051696224,83.62831781586121,
T7,41.657395950944306,97.03565536095691,154.1928431634478,77.37245942026901,82.50236452820648,
Pz,3.9310621300784536,8.314970481108768,5.776397801851863,3.859648398410017,10.74517086345485,
T8,58.90124985936385,167.62467217925598,69.49083544912448,110.90559548052045,66.02482315987257,
AF4,68.4978947121061,190.10277945214713,50.834893927285854,64.82220589346697,71.22761839168756,
AF3,35.37332962650511,85.69550744704719,64.06507420691226,75.82485051696224,83.62831781586121,
T7,41.657395950944306,97.03565536095691,154.1928431634478,77.37245942026901,82.50236452820648,
Pz,3.9310621300784536,8.314970481108768,5.776397801851863,3.859648398410017,10.74517086345485,
T8,58.90124985936385,167.62467217925598,69.49083544912448,110.90559548052045,66.02482315987257,
AF4,68.4978947121061,190.10277945214713,50.834893927285854,64.82220589346697,71.22761839168756,
AF3,35.37332962650511,85.69550744704719,64.06507420691226,75.82485051696224,83.62831781586121,
T7,41.657395950944306,97.03565536095691,154.1928431634478,77.37245942026901,82.50236452820648,
Pz,3.9310621300784536,8.314970481108768,5.776397801851863,3.859648398410017,10.74517086345485,
T8,58.90124985936385,167.62467217925598,69.49083544912448,110.90559548052045,66.02482315987257,
AF4,68.4978947121061,190.10277945214713,50.834893927285854,64.82220589346697,71.22761839168756,
AF3,35.37332962650511,85.69550744704719,64.06507420691226,75.82485051696224,83.62831781586121,
T7,41.657395950944306,97.03565536095691,154.1928431634478,77.37245942026901,82.50236452820648,
Pz,3.9310621300784536,8.314970481108768,5.776397801851863,3.859648398410017,10.74517086345485,
T8,58.90124985936385,167.62467217925598,69.49083544912448,110.90559548052045,66.02482315987257,
AF4,68.4978947121061,190.10277945214713,50.834893927285854,64.82220589346697,71.22761839168756,
AF3,35.37332962650511,85.69550744704719,64.06507420691226,75.82485051696224,83.62831781586121,
T7,41.657395950944306,97.03565536095691,154.1928431634478,77.37245942026901,82.50236452820648,
Pz,3.9310621300784536,8.314970481108768,5.776397801851863,3.859648398410017,10.74517086345485,
T8,58.90124985936385,167.62467217925598,69.49083544912448,110.90559548052045,66.02482315987257,
AF4,68.4978947121061,190.10277945214713,50.834893927285854,64.82220589346697,71.22761839168756,
AF3,35.37332962650511,85.69550744704719,64.06507420691226,75.82485051696224,83.62831781586121,
T7,41.657395950944306,97.03565536095691,154.1928431634478,77.37245942026901,82.50236452820648,
Pz,3.9310621300784536,8.314970481108768,5.776397801851863,3.859648398410017,10.74517086345485,
T8,58.90124985936385,167.62467217925598,69.49083544912448,110.90559548052045,66.02482315987257,
AF4,68.4978947121061,190.10277945214713,50.834893927285854,64.82220589346697,71.22761839168756,
AF3,35.37332962650511,85.69550744704719,64.06507420691226,75.82485051696224,83.62831781586121,
T7,41.657395950944306,97.03565536095691,154.1928431634478,77.37245942026901,82.50236452820648,
Pz,3.9310621300784536,8.314970481108768,5.776397801851863,3.859648398410017,10.74517086345485,
T8,58.90124985936385,167.62467217925598,69.49083544912448,110.90559548052045,66.02482315987257,
AF4,68.4978947121061,190.10277945214713,50.834893927285854,64.82220589346697,71.22761839168756,
AF3,35.37332962650511,85.69550744704719,64.06507420691226,75.82485051696224,83.62831781586121,
